NAICS_SUPER,RACE_HISP,RACEHISP_TOTAL,RACEHISP_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACEHISP_SHARE
4M,Hispanic Other,1364,288.1856172677603,24114,1130.8802765987211,0.0565646512399436
4M,Hispanic White,2105,319.20432327899323,24114,1130.8802765987211,0.08729368831384259
4M,Non-Hispanic AIAN,0,0,24114,1130.8802765987211,0
4M,Non-Hispanic Asian,1615,256.7622441092148,24114,1130.8802765987211,0.06697354234054906
4M,Non-Hispanic Black,4150,416.93122934124284,24114,1130.8802765987211,0.1720991954880982
4M,Non-Hispanic Other,389,112.15480373127136,24114,1130.8802765987211,0.01613170772165547
4M,Non-Hispanic White,14421,937.9403232615603,24114,1130.8802765987211,0.5980343368997263
51,Hispanic AIAN,64,34.420923869065454,121060,2064.7885363881696,5.28663472658186e-4
51,Hispanic Asian,17,16.889345754054535,121060,2064.7885363881696,1.4042623492483067e-4
51,Hispanic Black,261,114.88711851204208,121060,2064.7885363881696,0.0021559557244341648
51,Hispanic Other,5300,520.8276106352274,121060,2064.7885363881696,0.04377994382950603
51,Hispanic White,9010,729.3142326871182,121060,2064.7885363881696,0.07442590451016025
51,Non-Hispanic AIAN,81,54.19963099505384,121060,2064.7885363881696,6.690897075830167e-4
51,Non-Hispanic Asian,7624,530.0538180222835,121060,2064.7885363881696,0.06297703618040641
51,Non-Hispanic Black,18361,960.2993023011107,121060,2064.7885363881696,0.1516685940855774
51,Non-Hispanic Other,1978,312.7518984754529,121060,2064.7885363881696,0.01633900545184206
51,Non-Hispanic White,78364,1571.5651116005342,121060,2064.7885363881696,0.6473153808029076
52,Hispanic AIAN,149,57.7018197286706,305666,3257.269232040852,4.874601689425713e-4
52,Hispanic Asian,174,59.637236689840016,305666,3257.269232040852,5.692487878926672e-4
52,Hispanic Black,525,130.39823618439016,305666,3257.269232040852,0.001717560997952013
52,Hispanic Other,10546,709.9597523803726,305666,3257.269232040852,0.034501711017908436
52,Hispanic White,21391,924.9624316695246,305666,3257.269232040852,0.06998161391846001
52,Non-Hispanic AIAN,184,77.0412227317298,305666,3257.269232040852,6.019642354727055e-4
52,Non-Hispanic Asian,24547,1120.6165267387414,305666,3257.269232040852,0.08030660917472011
52,Non-Hispanic Black,37914,1227.3182146452484,305666,3257.269232040852,0.12403734795495737
52,Non-Hispanic Other,3370,349.5631559532555,305666,3257.269232040852,0.011025105834472922
52,Non-Hispanic White,206866,2202.6104399098813,305666,3257.269232040852,0.6767713779092212
53,Hispanic AIAN,162,62.19606096852115,98619,1780.3382262929704,0.0016426854865695252
53,Hispanic Asian,0,0,98619,1780.3382262929704,0
53,Hispanic Black,213,72.68734415288539,98619,1780.3382262929704,0.0021598272138228943
53,Hispanic Other,5056,497.6828307265582,98619,1780.3382262929704,0.05126801123515753
53,Hispanic White,7601,581.917648812957,98619,1780.3382262929704,0.07707439742848742
