NAICS_SUPER,RACE2,RACE_TOTAL,RACE_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACE_SHARE
51,White,87374,1856.8290309018762,121060,2064.7885363881696,0.7217412853130679
52,AIAN,333,95.97994582203097,305666,3257.269232040852,0.0010894244044152767
52,Asian,24721,1123.0001335707846,305666,3257.269232040852,0.08087585796261279
52,Black,38439,1249.43335156382,305666,3257.269232040852,0.1257549089529094
52,Other Race,13916,777.1437769164726,305666,3257.269232040852,0.04552681685238136
52,White,228257,2433.0364670509975,305666,3257.269232040852,0.7467529918276812
53,AIAN,203,64.50852656819872,98619,1780.3382262929704,0.002058426875145763
53,Asian,3296,340.8689630928577,98619,1780.3382262929704,0.03342155162798244
53,Black,14323,636.3390605644132,98619,1780.3382262929704,0.145235705087255
53,Other Race,6134,516.3612591974731,98619,1780.3382262929704,0.06219896774455227
53,White,74663,1406.3389882954964,98619,1780.3382262929704,0.7570853486650645
54,AIAN,560,151.82835703517313,433533,3563.1479551093585,0.0012917125109276572
54,Asian,44156,1417.3428837088081,433533,3563.1479551093585,0.10185153148664577
54,Black,31829,1175.0143828906946,433533,3563.1479551093585,0.07341770983985071
54,Other Race,17577,878.819776746063,433533,3563.1479551093585,0.040543626436741836
54,White,339411,3071.3292480618225,433533,3563.1479551093585,0.782895419725834
55,AIAN,0,0,6885,448.39697813433133,0
55,Asian,481,105.44050455114487,6885,448.39697813433133,0.06986201888162673
55,Black,364,104.4373017652218,6885,448.39697813433133,0.052868554829339144
55,Other Race,105,51.53882032022076,6885,448.39697813433133,0.015250544662309368
55,White,5935,410.99969586363443,6885,448.39697813433133,0.8620188816267248
56,AIAN,709,148.5856655266584,281476,3405.4995154896146,0.002518864841052168
56,Asian,8070,452.1996793453087,281476,3405.4995154896146,0.0286702951583794
56,Black,53692,1332.5494925142557,281476,3405.4995154896146,0.19075160937344568
56,Other Race,43250,1450.882731305325,281476,3405.4995154896146,0.15365430800494537
56,White,175755,2766.6493724359075,281476,3405.4995154896146,0.6244049226221774
61,AIAN,742,132.97161351205753,519178,4138.171619205757,0.001429182284303264
61,Asian,29797,1088.8515968670845,519178,4138.171619205757,0.057392647608334714
61,Black,74527,1478.222175452662,519178,4138.171619205757,0.14354807021869184
61,Other Race,25273,1003.5544330030135,519178,4138.171619205757,0.04867887314177411
61,White,388839,3516.3542199272247,519178,4138.171619205757,0.7489512267468961
62,AIAN,1744,231.1861803828248,694751,4686.125323761626,0.0025102518744125595
62,Asian,72343,1404.4006906862444,694751,4686.125323761626,0.1041279537560939
62,Black,157051,2430.5267330354545,694751,4686.125323761626,0.22605365087635715
62,Other Race,44894,1451.5277296696747,694751,4686.125323761626,0.06461883466162698
62,White,418719,3912.9909468333813,694751,4686.125323761626,0.6026893088315094
71,AIAN,395,133.64168511359023,146474,2421.270152213503,0.002696724333328782
71,Asian,4597,412.4546035626224,146474,2421.270152213503,0.03138440951977826
71,Black,17292,782.4746641265773,146474,2421.270152213503,0.11805508144790201
71,Other Race,10663,694.3351856272301,146474,2421.270152213503,0.0727979026994552
71,White,113527,2079.5969321000644,146474,2421.270152213503,0.7750658819995357
72,AIAN,1398,237.82514585299847,417236,4171.491987287043,0.00335062171049478
72,Asian,27431,1096.4245756092846,417236,4171.491987287043,0.06574456662416474
72,Black,56312,1414.1029135108945,417236,4171.491987287043,0.13496438466479402
72,Other Race,67184,2018.0923665679925,417236,4171.491987287043,0.1610215801129337
72,White,264911,3323.7377905003277,417236,4171.491987287043,0.6349188468876128
81,AIAN,656,165.79776838063896,269679,2822.7430453372835,0.002432521627564623
81,Asian,18110,895.7374057166531,269679,2822.7430453372835,0.06715391261462703
81,Black,36237,1117.6870313285378,269679,2822.7430453372835,0.13437086313728544
81,Other Race,23945,1119.7576523516148,269679,2822.7430453372835,0.08879074751834588
81,White,190731,2476.305655608774,269679,2822.7430453372835,0.7072519551021771
92,AIAN,892,173.1317417459895,198887,2713.4550945243227,0.004484958795698059
92,Asian,6259,487.9017319092032,198887,2713.4550945243227,0.03147013128057641
92,Black,49495,1492.9039151934728,198887,2713.4550945243227,0.248859905373403
92,Other Race,10162,609.7199767106208,198887,2713.4550945243227,0.05109434000211175
92,White,132079,1954.685959431847,198887,2713.4550945243227,0.6640906645482108
99,AIAN,236,77.01428438932612,106489,2090.1260009865437,0.0022161913437068618
99,Asian,5518,541.3968507481364,106489,2090.1260009865437,0.05181755862107823
99,Black,45384,1422.0383082041076,106489,2090.1260009865437,0.4261848641643738
99,Other Race,12811,761.5876508977808,106489,2090.1260009865437,0.12030350552639239
99,White,42540,1397.657915943669,106489,2090.1260009865437,0.3994778803444487
