INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
3391,20211,872.832372222754,52694,1712.582694380997,50583.916666666664,1773.1672421564908,4e4,36e3,1,1,1
3399M,3459,373.6541181360109,45217.825,6243.513598984106,42784.292682926825,5783.4587634229265,4e4,36e3,1,1,1
3399ZM,23817,1063.060769664651,37570.84375,1240,35614,1526.25,4e4,36e3,1,0,0
33MS,1774,275.59744193297587,30012.115384615383,3179.4811363414656,30012.115384615383,3179.4811363414656,4e4,36e3,1,0,0
3MS,29932,1364.3481227311452,28e3,1056.75,27414.39534883721,1176.75,4e4,36e3,1,0,0
4231,6942,464.6495453564977,38469.77358490566,2502.14972712123,35064.294117647056,2420.7202184719026,4e4,36e3,0,0,0
4232,3200,327.0669656201922,36886,4493.7849319024335,36056.51724137931,4884.403443668058,4e4,36e3,0,0,1
4233,3829,388.49697553520286,47339.85344827586,3703.6981970823254,45230.3064516129,3704.542584137256,4e4,36e3,0,1,1
4234,15719,826.5910113230121,58790.3,3253.75,55e3,2517.6862462013287,4e4,36e3,0,1,1
4235,3641,304.7983759799255,55542.36842105263,3781.081194400578,54935.325,3870.4291426453674,4e4,36e3,0,1,1
4236,10018,724.5542422758975,54374.666666666664,3342.421155781565,52328.69565217391,3565.127477842434,4e4,36e3,0,1,1
4237,6130,447.1451665846339,51563.78124999999,3693.144839741204,50058,3458.4625804455154,4e4,36e3,0,1,1
4238,15840,709.8798137713172,57909.37113402062,1835.8118284433403,53700.148148148146,1970.4458878567293,4e4,36e3,0,1,1
42393,4415,318.1806876603293,30033.189655172413,3052.75,25510.9375,3343.2552922714185,4e4,36e3,0,0,0
4239Z,4114,333.6276367449196,42286.36363636363,4431.6896218929105,38044,4385.602264592211,4e4,36e3,0,1,1
4241,3940,348.6515452425244,52783.76470588236,4222.855998761677,50549.4,4622.057130759615,4e4,36e3,0,1,1
4243,2103,276.4539744695308,33120.89705882353,5538.270897895461,32e3,5435.385835835164,4e4,36e3,0,0,0
4244,29390,955.5603329983932,40047,1364.8691963860692,4e4,1290.5,4e4,36e3,0,1,1
4245,915,164.11733607392,41282,5373.853411179919,41170,4291.704795815348,4e4,36e3,0,1,1
4247,1810,255.44255714347992,68122.71428571429,10303.807967678878,63232,8881.415826882314,4e4,36e3,0,1,1
4248,4417,390.40062756097103,60362.8846153846,3306.0215789899667,58124.0625,3308,4e4,36e3,0,1,1
42491,1080,189.46028607600064,40185.444444444445,8193.972192700481,31232.38028169014,5720.135881527713,4e4,36e3,0,1,0
4249Z,8490,473.7075046903944,39118.086956521736,2987.093483227456,36e3,2133.639497272431,4e4,36e3,0,0,0
424M,9702,664.1410241808588,70081,5333.5,70014.29411764706,5350.75,4e4,36e3,0,1,1
4251,4066,312.13410579428836,51e3,4223.7077072882985,43357,3487.115848411733,4e4,36e3,0,1,1
42S,4291,460.285237651611,35669.25,2522.2736106928332,34487.52777777778,3538.818671149036,4e4,36e3,0,0,0
4411,32239,1168.899803233793,39096.759259259255,1405.3513405304657,36569.799999999996,1751.3301190866805,4e4,36e3,0,0,1
4412,2277,322.09043761030847,43966.5625,5577.539578204189,36131,6608.808400446685,4e4,36e3,0,1,1
4413,9726,569.074775403022,30599.151515151516,698.9745369234424,25808,976.2649114975166,4e4,36e3,0,0,0
442,17145,878.0768759055212,33029.75,1482.3078673115706,30035,1942.75,4e4,36e3,0,0,0
443141,1753,264.135949844015,31119.70588235294,2081.7954353895493,27936.5,2168.573012296133,4e4,36e3,0,0,0
